month,category,revenue,units_sold,region
Jan,Electronics,45200,312,North
Jan,Clothing,23100,540,North
Jan,Food,18700,890,South
Feb,Electronics,51300,388,North
Feb,Clothing,19800,421,South
Feb,Food,22400,1020,East
Mar,Electronics,61000,445,East
Mar,Clothing,28900,612,West
Mar,Food,19200,880,North
Apr,Electronics,58700,401,South
Apr,Clothing,31200,698,North
Apr,Food,24100,1150,East
May,Electronics,72300,512,West
May,Clothing,26500,570,South
May,Food,21800,960,North
Jun,Electronics,68900,490,North
Jun,Clothing,34700,755,East
Jun,Food,28300,1280,West
Jul,Electronics,79400,563,East
Jul,Clothing,29800,634,North
Jul,Food,25100,1100,South
Aug,Electronics,82100,591,West
Aug,Clothing,38200,821,East
Aug,Food,27600,1240,North
Sep,Electronics,75300,534,South
Sep,Clothing,32400,689,West
Sep,Food,23900,1050,East
Oct,Electronics,88700,625,North
Oct,Clothing,35900,762,South
Oct,Food,29400,1320,West
Nov,Electronics,95200,681,East
Nov,Clothing,41300,888,North
Nov,Food,32100,1450,South
Dec,Electronics,102400,734,West
Dec,Clothing,48700,1050,East
Dec,Food,38900,1750,North
